household_id,state,sector_rural_urban,household_size,food_expenditure,education_expenditure,medical_expenditure,transport_expenditure,rent,fuel_light,clothing,durable_goods,total_monthly_expenditure,mpce
1,Tamil Nadu,Urban,8,16796,4197,2770,8160,14284,4543,3732,1939,56421,7052.62
2,Maharashtra,Urban,7,7817,2271,1870,883,8311,721,897,1359,24129,3447.0
3,Bihar,Rural,5,5488,2730,1243,1196,1528,2051,1649,2688,18573,3714.6
4,Kerala,Rural,3,5258,1024,1469,831,2139,1470,552,1703,14446,4815.33
5,Maharashtra,Rural,7,5572,3418,2432,2795,3843,1819,1084,2730,23693,3384.71
6,Delhi,Urban,5,5046,1610,1118,2128,10869,983,590,1523,23867,4773.4
7,Kerala,Rural,6,2712,911,375,306,3928,539,378,712,9861,1643.5
8,Rajasthan,Urban,3,18122,6717,3743,2492,9184,2605,2516,4600,49979,16659.67
9,Delhi,Rural,4,3028,1577,1367,1173,3810,953,548,1025,13481,3370.25
10,West Bengal,Rural,6,5947,1549,1412,1656,3646,670,779,1313,16972,2828.67
11,Karnataka,Urban,8,7031,4256,3211,2823,14506,2299,1699,1305,37130,4641.25
12,West Bengal,Rural,2,4758,1393,1521,2305,2237,1603,357,1597,15771,7885.5
13,Kerala,Rural,2,5840,1404,1252,2068,683,1255,466,1181,14149,7074.5
14,Tamil Nadu,Rural,2,3432,646,1125,695,3696,320,310,810,11034,5517.0
15,Maharashtra,Rural,3,3518,1619,1459,869,1733,986,496,1248,11928,3976.0
16,Gujarat,Rural,8,8794,1933,1276,1140,2191,1591,1279,674,18878,2359.75
17,Bihar,Urban,5,5102,2504,1478,2573,4734,864,724,781,18760,3752.0
18,Tamil Nadu,Rural,3,7610,3112,2013,2051,262,1085,509,2742,19384,6461.33
19,Uttar Pradesh,Urban,8,18555,8376,8045,8047,10400,5035,3395,2326,64179,8022.38
20,Delhi,Urban,5,6719,889,1012,1841,8592,1431,1037,999,22520,4504.0
21,Rajasthan,Rural,7,6185,2082,2066,1793,815,1147,396,1148,15632,2233.14
22,Tamil Nadu,Rural,7,6694,3381,2229,2637,2277,1429,1112,1815,21574,3082.0
23,Uttar Pradesh,Rural,4,5523,761,2044,1327,546,776,998,1638,13613,3403.25
24,Uttar Pradesh,Urban,2,5576,2715,738,1232,15468,787,552,1350,28418,14209.0
25,Maharashtra,Urban,8,16608,2253,2399,4461,3569,2343,1342,2492,35467,4433.38
26,West Bengal,Urban,2,17809,4878,7138,7248,15533,5091,4138,5054,66889,33444.5
27,Kerala,Urban,5,6780,2665,2395,1455,15039,1086,445,1726,31591,6318.2
28,Gujarat,Rural,3,2020,833,285,353,3261,587,273,297,7909,2636.33
29,Rajasthan,Urban,5,6163,2878,1108,1645,3004,1479,510,829,17616,3523.2
